,Q3 2019 Dividend per Share,Q4 2019 Dividend per Share,Q1 2020 Dividend per Share,Q2 2020 Dividend per Share,Q3 2020 Dividend per Share
MIK,0,0,0,0,
MIDD,0,0,0,0,0
MOS,0.05,0.05,0.05,0.05,0.05
NYT,0.05,0.05,0.06,0.06,0.06
ODP,0.25,0.25,0.25,0,0
PNTG,#N/A,0,0,0,0
PNC,1.15,1.15,1.15,1.15,1.15
PG,0.7459,0.7459,0.7459,0.7907,0.7907
PGR,0.1,0.1,0.1,0.1,0.1
PRSC,0,0,0,0,0
SMG,0.58,0.58,0.58,0.58,0.62
SHW,1.13,1.13,1.34,1.34,1.34
SO,0.62,0.62,#N/A,0.64,0.64
JOE,0,0,0,0,0
TKR,0.28,0.28,0.28,0.28,0.28
TJX,0.23,0.23,0,0,
TTC,0.225,0.25,0.25,0.25,
TRV,0.82,0.82,0.82,0.85,0.85
DIS,0.88,0,0.88,0,0
WEN,0.1,0.12,0.12,0.05,0.05
WU,0.2,0.2,0.225,0.225,0.225
WMB,0.38,0.38,0.4,0.4,0.4
TMO,0.19,0.19,0.22,0.22,0.22
TPRE,0,0,0,0,0
THO,0.4,0.4,0.4,0.4,
TIF,0.58,0.58,0.58,0.58,
TMST,0,0,0,0,0
TWI,0.005,0.005,0.005,#N/A,#N/A
TVTY,0,0,0,0,0
TMUS,0,0,0,0,0
TOL,0.11,0.11,0.11,0.11,
TMP,0.5,0.52,0.52,0.52,0.52
TR,0.08738,0.08738,0.087378639,0.09,0.09
BLD,0,0,0,0,0
TSCO,0.35,0.35,0.35,0.35,0.4
TT,0.53,0.53,0.53,0.53,0.53
TDG,0,0,0,0,0
TG,0.12,0.12,0.12,0.12,0.12
THS,0,0,0,0,0
TREX,0,0,0,0,0
TPH,0,0,0,0,0
TRMB,0,0,0,0,0
TRN,0.17,0.19,0.19,0.19,0.19
TSE,0.4,0.4,0.4,0.4,0.4
TRIP,0,0,0,0,0
TBK,0,0,0,0,0
TGI,0.04,0.04,0.04,#N/A,#N/A
TBI,0,0,0,0,0
TFC,0.45,0.45,0.45,0.45,0.45
TRUP,0,0,0,0,0
TRST,0.068125,0.068125,0.068125,0.068125,0.068125
TRMK,0.23,0.23,0.23,0.23,0.23
TTEC,0,0.32,0,0.34,0
TTMI,0,0,0,0,0
TUP,0.27,0,0,0,0
TWTR,0,0,0,0,0
TYL,0,0,0,0,0
TSN,0.42,0.42,0.42,0.42,0.445
USB,0.42,0.42,0.42,0.42,0.42
USCR,0,0,0,0,0
USPH,0.3,0.3,0.32,#N/A,#N/A
SLCA,0.0625,0.0625,0.02,#N/A,#N/A
UDR,0.3425,0.3425,0.36,0.36,0.36
UFPI,0,0.2,0.125,0.125,0.125
UGI,0.325,0.325,#N/A,0.33,0.33
ULTA,0,0,0,0,
UCTT,0,0,0,0,0
UMBF,0.3,0.31,0.31,0.31,0.31
UMPQ,0.21,0.21,0.21,0,0.21
UA,0,0,0,0,0
UAA,0,0,0,0,0
UFI,0,0,0,0,0
UNF,0.25,#N/A,0.25,0.25,
UNP,0.97,0.97,0.97,0.97,0.97
UIS,0,0,0,0,0
UAL,0,0,0,0,0
UBSI,0.34,0.35,0.35,0.35,0.35
UCBI,0.17,0.18,0.18,0.18,0.18
UFCS,0.33,0.33,0.33,0.33,0.33
UIHC,0.06,0.06,0.06,0.06,0.06
UNFI,0,0,0,0,
UPS,0.96,0.96,1.01,1.01,1.01
URI,0,0,0,0,0
X,0.05,0.05,0.01,0.01,0.01
UTHR,0,0,0,0,0
UNH,1.08,1.08,1.08,1.25,1.25
UNIT,0.05,0.22,0.15,0.15,0.15
UNVR,0,0,0,0,0
UVV,0.76,0.76,0.76,0.77,0.77
OLED,0.1,0.1,0.15,0.15,0.15
UEIC,0,0,0,0,0
UHT,0.68,0.685,0.685,0.69,0.69
UHS,0.2,0.2,0.2,#N/A,#N/A
UVE,0.16,0.16,0.16,0.16,0.16
UNM,0.285,0.285,#N/A,0.285,0.285
UE,0.22,0.22,0.22,#N/A,#N/A
URBN,0,0,0,0,
UBA,0.275,0.28,0.28,0.07,
ECOL,0.18,0.18,0.18,#N/A,#N/A
USNA,0,0,0,0,0
VFC,0.43,0.48,0.48,0.48,0.48
VLO,0.9,0.9,0.98,0.98,0.98
VLY,0.11,0.11,0.11,0.11,0.11
VMI,0.375,0.375,0.45,0.45,0.45
VVV,0.106,0.113,0.113,0.113,0.113
VNDA,0,0,0,0,0
VREX,0,0,0,0,#N/A
VAR,0,0,0,0,0
VGR,0.380952385,0.4,0.2,0.2,0.2
VECO,0,0,0,0,0
VTR,0.7925,0.7925,0.7925,0.45,0.45
VRA,0,0,0,0,
VRSN,0,0,0,0,0
VRSK,0.25,0.25,0.27,0.27,0.27
VBTX,0.125,0.125,0.17,0.17,0.17
VRTV,0,0,0,0,0
VZ,0.615,0.615,0.615,0.615,0.6275
VRTX,0,0,0,0,0
VIAC,0.18,0.24,0.24,0.24,0.24
VVI,0.1,0.1,0.1,#N/A,#N/A
VSAT,0,0,0,0,0
VTRS,0,0,0,0,0
VIAV,0,0,0,0,0
VICR,0,0,0,0,0
VRTS,0.67,0.67,0.67,0.67,0.82
VRTU,0,0,0,0,0
V,0.25,0.3,0.3,0.3,0.3
VSH,0.095,0.095,0.095,0.095,0.095
VSTO,0,0,0,0,0
VC,0,0,0,0,0
VG,0,0,0,0,0
VNT,#N/A,#N/A,#N/A,#N/A,#N/A
VNO,0.66,0.66,#N/A,0.66,0.53
VMC,0.31,0.31,0.34,0.34,0.34
WRB,0.11,0.11,0.11,0.12,0.12
GWW,1.44,1.44,1.44,1.44,1.53
WNC,0.08,0.08,0.08,0.08,0.08
WAB,0.12,0.12,0.12,0.12,0.12
WDR,0.25,0.25,0.25,0.25,0.25
WBA,0.4575,0.4575,0.4575,0.4675,
WD,0.3,0.3,0.36,0.36,0.36
WMT,0.53,0.53,0.54,0.54,
HCC,0.05,0.05,0.05,0.05,0.05
WAFD,0.21,0.21,0.22,0.22,0.22
WRE,0.3,0.3,0.3,0.3,0.3
WM,0.5125,0.5125,0.545,0.545,0.545
WAT,0,0,0,0,0
WSO,1.6,1.6,1.775,1.775,1.775
WTS,0.23,0.23,0.23,0.23,0.23
WDFC,0.61,0.67,0.67,0.67,
WBS,0.4,0.4,0.4,0.4,0.4
WEC,0.59,0.59,0.6325,0.6325,0.6325
WRI,0.395,0.395,0.395,0.18,0.18
WFC,0.51,0.51,0.51,0.51,0.1
WELL,0.87,0.87,0.87,0.61,0.61
WERN,0.09,0.09,0.09,0.09,0.09
WST,0.16,0.16,0.16,0.16,0.17
WABC,0.41,0.41,0.41,0.41,0.41
WDC,0.5,0.5,0.5,#N/A,#N/A
WRK,0.455,0.465,0.465,0.2,0.2
WEX,0,0,0,0,0
WY,0.34,0.34,0.34,0,0
WHR,1.2,1.2,1.2,1.2,1.2
WSR,0.285,0.285,0.105,0.105,0.105
WSM,0.48,0.48,0.48,0.48,
WLTW,0.65,0.65,0.68,0.68,0.68
WING,0.11,0.11,0.11,0.11,0.14
WGO,0.11,0.11,0.11,0.11,
WTFC,0.25,0.25,0.28,0.28,0.28
WETF,0.03,0.03,0.03,0.03,0.03
WWW,0.1,0.1,0.1,0.1,0.1
WWD,0.1625,0.28,0.08125,0.08125,0.08125
WRLD,0,0,0,0,0
INT,0.1,0.1,0.1,0.1,0.1
WWE,0.12,0.12,0.12,0.12,0.12
WOR,0.24,0.24,0.24,0.25,
WPX,0,0,0,0,0
WW,0,0,0,0,0
WYND,0.45,0.45,0.5,0.5,0.3
WH,0.29,0.29,0.32,0.08,0.08
WYNN,1,1,1,#N/A,#N/A
XEL,0.405,0.405,0.43,0.43,0.43
XNCR,0,0,0,0,0
XHR,0.275,0.275,0.275,#N/A,#N/A
XRX,0.25,0.25,0.25,0.25,0.25
XLNX,0.37,0.37,0.37,0.38,0.38
XPER,0.2,0.2,0.2,0.2,0.05
XPO,0,0,0,0,0
XYL,0.24,0.24,0.26,0.26,0.26
YELP,0,0,0,0,0
YETI,0,0,0,0,0
YUM,0.42,0.42,0.47,0.47,0.47
ZBRA,0,0,0,0,0
ZBH,0.24,0.24,0.24,0.24,0.24
ZION,0.34,0.34,0.34,0.34,0.34
ZTS,0.164,0.2,0.2,0.2,0.2
ZUMZ,0,0,0,0,
ZYXI,0,0,0,0,0
