Symbol,Q3 2019 Share Price,Q4 2019 Share Price,Q1 2020 Share Price,Q2 2020 Share Price,Q3 2020 Share Price
IPGP,135.6,144.92,110.28,160.39,169.97
IQV,149.38,154.51,107.86,141.88,157.63
IRM,32.39,31.87,23.8,26.1,26.79
JKHY,145.97,145.67,155.24,184.03,162.59
J,91.5,89.83,79.27,84.8,92.77
JBHT,110.65,116.78,92.23,120.34,126.38
SJM,105.68,103.61,114.91,109.35,
JNJ,129.38,145.87,131.13,140.63,148.88
JCI,43.89,40.71,26.96,34.14,40.85
JPM,117.69,139.4,90.03,94.06,96.27
JNPR,24.75,24.63,19.14,22.86,21.5
KSU,133.01,153.16,127.18,149.29,180.83
K,64.35,69.16,59.99,66.06,64.59
KEY,17.84,20.24,10.37,12.18,11.93
KEYS,100.91,92.99,96.77,99.89,
KMB,142.05,137.55,127.87,141.35,147.66
KIM,20.88,20.71,9.67,12.84,11.26
KMI,20.61,21.17,13.92,15.17,12.33
KLAC,159.45,178.17,143.74,194.48,193.74
KHC,27.935,32.13,24.74,31.89,29.95
KR,24.64,26.86,32.62,35.68,
LB,17.04,23.16,11.89,24.41,
LHX,208.64,197.87,180.12,169.67,169.84
LH,168,169.17,126.39,166.11,188.27
LRCX,231.11,292.4,240,323.46,331.75
LW,83.98,86.89,60.06,62.85,
LVS,57.76,69.04,42.47,45.54,46.66
LEG,40.94,50.83,26.68,35.15,41.17
LDOS,85.88,97.89,91.65,93.67,89.15
LEN,59.65,60.34,60.46,74.82,
LLY,111.83,131.43,138.72,164.18,148.02
LNC,60.32,59.01,26.32,36.79,31.33
LIN,193.72,212.9,173,212.11,238.13
LYV,66.34,71.47,45.46,44.33,53.88
LKQ,31.45,35.7,20.51,26.2,27.73
LMT,390.06,389.38,338.95,364.92,383.28
L,51.48,52.49,34.83,34.29,34.75
LOW,111.61,116.24,104.75,148.91,
LUMN,12.48,13.21,9.46,10.03,10.09
LYB,89.47,94.48,49.63,65.72,70.49
MTB,157.97,169.75,103.43,103.97,92.09
MRO,12.27,13.58,3.29,6.12,4.09
MPC,60.75,60.25,23.62,37.38,29.34
MKTX,327.5,379.11,332.57,500.92,481.59
MAR,124.37,151.43,74.81,85.73,92.58
MMC,100.05,111.41,86.46,107.37,114.7
MLM,274.1,279.64,189.23,206.57,235.36
MAS,41.68,47.99,34.57,50.21,55.13
MA,271.57,298.59,241.56,295.7,338.17
MKC,169.25,146.19,175.16,206.2,
MXIM,57.91,61.51,48.61,60.61,67.61
MCD,214.71,197.61,165.35,184.47,219.49
MCK,136.66,138.32,135.26,153.42,148.93
MDT,108.9,115.44,97.63,96.48,
MRK,84.18,90.95,76.94,77.33,82.95
MET,47.16,50.97,30.57,36.52,37.17
MTD,704.4,793.28,690.51,805.55,965.75
MGM,27.72,33.27,11.8,16.8,21.75
MCHP,92.91,104.72,67.8,105.31,102.76
MU,47.51,52.56,47.91,45.51,
MSFT,139.03,157.7,157.71,203.51,210.33
